Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Bastogne,Apartment,None,Make,None,5,677m²squaremeters,Yes,Yes,No,No,No,677m²squaremeters,2268m²squaremeters,4,No,Good
Bastogne,House,None,Make,None,4,202m²squaremeters,Yes,Yes,No,No,Yes,202m²squaremeters,1332m²squaremeters,3,No,None
Roche-en-Ardenne,Apartment,None,Make,None,22,790m²squaremeters,Yes,No,No,No,No,790m²squaremeters,805m²squaremeters,4,No,Tobedoneup
ATTENHOVEN,House,None,"€305,000",None,4,253m²squaremeters,Yes,Yes,No,No,Yes,253m²squaremeters,289m²squaremeters,3,No,Tobedoneup
Liège,House,None,"€314,500",None,4,146m²squaremeters,Yes,Yes,No,No,No,146m²squaremeters,5m²squaremeters,None,No,Good
Liège,Apartment,None,"€314,500",None,4,146m²squaremeters,Yes,Yes,No,No,No,146m²squaremeters,5m²squaremeters,None,No,Good
Liège,House,None,"€314,500",None,4,146m²squaremeters,Yes,Yes,No,No,No,146m²squaremeters,5m²squaremeters,None,No,Good
Liège,Apartment,None,"€314,500",None,4,146m²squaremeters,Yes,Yes,No,No,No,146m²squaremeters,5m²squaremeters,None,No,Good
HERMALLE-SOUS-HUY,House,None,"€320,000",None,5,411m²squaremeters,Yes,Yes,No,No,No,411m²squaremeters,687m²squaremeters,2,No,Asnew
Attert,House,None,"€320,000",None,3,191m²squaremeters,Yes,Yes,No,No,Yes,191m²squaremeters,3962m²squaremeters,3,No,Good
Nivelles,Apartment,None,"€325,000",None,3,320m²squaremeters,Yes,Yes,No,No,No,320m²squaremeters,170m²squaremeters,2,No,Good
Nivelles,House,None,"€325,000",None,5,320m²squaremeters,Yes,Yes,No,No,No,320m²squaremeters,170m²squaremeters,2,No,Good
Ans,House,None,"€325,000",None,4,180m²squaremeters,No,Yes,No,No,No,180m²squaremeters,650m²squaremeters,3,No,Good
Lebbeke,House,None,"€334,000",None,4,170m²squaremeters,Yes,Yes,No,Yes,Yes,170m²squaremeters,201m²squaremeters,2,No,Good
SINT-PIETERS-LEEUW,House,None,"€339,000",None,3,110m²squaremeters,Yes,Yes,No,Yes,Yes,110m²squaremeters,110m²squaremeters,2,No,Good
Beersel,House,None,"€349,000",None,3,188m²squaremeters,Yes,Yes,No,Yes,No,188m²squaremeters,95m²squaremeters,2,No,Justrenovated
Huizingen,House,None,"€349,000",None,3,188m²squaremeters,Yes,Yes,No,Yes,No,188m²squaremeters,95m²squaremeters,2,No,Justrenovated
Ternat,House,None,"€349,000",None,4,132m²squaremeters,Yes,Yes,No,No,No,132m²squaremeters,533m²squaremeters,2,No,Asnew
Vilvoorde,House,None,"€349,000",None,3,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,98m²squaremeters,3,No,Tobedoneup
Vilvoorde,House,None,"€349,000",None,3,180m²squaremeters,Yes,Yes,No,No,No,180m²squaremeters,330m²squaremeters,2,No,Good
Grimbergen,House,None,"€349,000",None,3,125m²squaremeters,Yes,Yes,No,No,No,125m²squaremeters,120m²squaremeters,2,No,Good
Grimbergen,House,None,"€349,000",None,3,173m²squaremeters,Yes,Yes,No,No,Yes,173m²squaremeters,553m²squaremeters,3,No,Tobedoneup
Athus,House,None,"€349,000",None,3,155m²squaremeters,Yes,Yes,No,No,Yes,155m²squaremeters,876m²squaremeters,4,No,None
Merelbeke,House,None,"€349,000",None,3,205m²squaremeters,Yes,Yes,No,No,Yes,205m²squaremeters,201m²squaremeters,2,No,Good
Schoten,House,None,"€350,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,194m²squaremeters,4,No,Justrenovated
Marneffe,House,None,Make,None,3,200m²squaremeters,Yes,Yes,No,Yes,No,200m²squaremeters,450m²squaremeters,2,Yes,Asnew
Auderghem,Mixed-use,None,"€360,000",None,2,145m²squaremeters,Yes,Yes,No,No,No,145m²squaremeters,200m²squaremeters,2,No,Torenovate
Antheit,House,None,Make,None,4,250m²squaremeters,Yes,Yes,No,Yes,No,250m²squaremeters,1135m²squaremeters,3,No,Asnew
Fexhe-le-Haut-Clocher,House,None,"€365,000",None,3,130m²squaremeters,Yes,Yes,No,No,Yes,130m²squaremeters,2476m²squaremeters,4,No,Good
SINT-KATELIJNE-WAVER,House,None,"€369,000",None,4,165m²squaremeters,Yes,Yes,No,No,Yes,165m²squaremeters,448m²squaremeters,3,No,Tobedoneup
Beersel,House,None,"€370,000",None,3,125m²squaremeters,Yes,Yes,No,No,No,125m²squaremeters,658m²squaremeters,4,No,Torenovate
Alsemberg,House,None,"€370,000",None,3,125m²squaremeters,Yes,Yes,No,No,No,125m²squaremeters,658m²squaremeters,4,No,Torenovate
Arlon,House,None,"€370,000",None,5,189m²squaremeters,Yes,Yes,No,No,Yes,189m²squaremeters,1100m²squaremeters,4,No,Torenovate
Freux,House,None,"€370,000",None,6,360m²squaremeters,Yes,Yes,No,No,No,360m²squaremeters,5870m²squaremeters,4,No,Tobedoneup
Freux,Mixed-use,None,"€370,000",None,6,360m²squaremeters,Yes,Yes,No,No,No,360m²squaremeters,5870m²squaremeters,4,No,Tobedoneup
SINT-NIKLAAS,House,None,"€370,000",None,6,204m²squaremeters,Yes,Yes,No,No,No,204m²squaremeters,327m²squaremeters,2,No,Good
Burg-Reuland,House,None,"€375,000",None,9,285m²squaremeters,No,Yes,No,No,No,285m²squaremeters,947m²squaremeters,3,No,Good
Wetteren,House,None,"€385,000",None,4,232m²squaremeters,Yes,Yes,No,No,No,232m²squaremeters,220m²squaremeters,2,Yes,Good
Tubize,Mansion,None,"€395,000",None,4,230m²squaremeters,Yes,No,No,Yes,Yes,230m²squaremeters,325m²squaremeters,2,No,Asnew
Londerzeel,House,None,"€395,000",None,4,181m²squaremeters,Yes,Yes,No,Yes,No,181m²squaremeters,656m²squaremeters,2,No,Torenovate
Hoboken,Town-house,None,"€395,000",None,3,156m²squaremeters,Yes,Yes,No,No,No,156m²squaremeters,319m²squaremeters,3,No,Asnew
Wanze,House,None,Make,None,3,250m²squaremeters,Yes,Yes,No,Yes,No,250m²squaremeters,1867m²squaremeters,4,No,Tobedoneup
Etalle,House,None,"€395,000",None,4,167m²squaremeters,Yes,Yes,No,Yes,Yes,167m²squaremeters,455m²squaremeters,4,No,Tobedoneup
Melle,House,None,"€395,000",None,2,156m²squaremeters,Yes,Yes,No,Yes,Yes,156m²squaremeters,677m²squaremeters,4,No,Tobedoneup
Waterloo,House,None,"€399,000",None,3,153m²squaremeters,Yes,Yes,No,No,No,153m²squaremeters,175m²squaremeters,2,Yes,Good
Hoeilaart,House,None,"€399,000",None,3,100m²squaremeters,Yes,Yes,No,No,No,100m²squaremeters,183m²squaremeters,3,No,Asnew
HOGNE,House,None,"€399,000",None,3,250m²squaremeters,Yes,Yes,No,Yes,Yes,250m²squaremeters,1786m²squaremeters,4,No,None
Hanzinne,House,None,Make,None,4,277m²squaremeters,Yes,Yes,No,No,No,277m²squaremeters,1406m²squaremeters,4,Yes,Good
SINT-NIKLAAS,House,None,"€410,000",None,3,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,3829m²squaremeters,4,No,Tobedoneup
Grimbergen,House,None,"€419,000",None,3,145m²squaremeters,Yes,Yes,No,No,No,145m²squaremeters,193m²squaremeters,2,No,Good
Leuven,House,None,"€419,000",None,3,153m²squaremeters,Yes,No,No,No,No,153m²squaremeters,42m²squaremeters,2,No,Torenovate
Testelt,House,None,"€422,000",None,3,165m²squaremeters,Yes,Yes,No,Yes,Yes,165m²squaremeters,800m²squaremeters,4,No,Good
Bruxelles,Mixed-use,None,"€425,000",None,6,265m²squaremeters,Yes,Yes,No,No,No,265m²squaremeters,107m²squaremeters,2,Yes,Good
Nivelles,House,None,Make,None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,1000m²squaremeters,4,No,Good
Wolvertem,House,None,"€425,000",None,3,180m²squaremeters,Yes,Yes,No,No,Yes,180m²squaremeters,477m²squaremeters,3,No,Good
Aarschot,House,None,"€440,000",None,5,223m²squaremeters,Yes,Yes,No,No,Yes,223m²squaremeters,1092m²squaremeters,4,No,Good
Destelbergen,House,None,"€445,000",None,3,190m²squaremeters,Yes,Yes,No,No,No,190m²squaremeters,207m²squaremeters,2,No,Good
Londerzeel,Villa,None,"€449,000",None,4,198m²squaremeters,Yes,Yes,No,Yes,Yes,198m²squaremeters,746m²squaremeters,4,No,Tobedoneup
Marche-en-Famenne,House,None,"€449,000",None,4,325m²squaremeters,Yes,Yes,No,No,No,325m²squaremeters,310m²squaremeters,2,No,Torenovate
Waregem,House,None,"€449,000",None,4,174m²squaremeters,Yes,Yes,No,No,No,174m²squaremeters,463m²squaremeters,3,No,Good
Libramont-Chevigny,House,None,"€450,000",None,4,221m²squaremeters,Yes,No,No,Yes,No,221m²squaremeters,911m²squaremeters,4,Yes,Good
Groot-Bijgaarden,House,None,"€459,000",None,5,143m²squaremeters,Yes,Yes,No,Yes,No,143m²squaremeters,1031m²squaremeters,3,Yes,None
GELRODE,House,None,"€465,000",None,5,405m²squaremeters,Yes,Yes,No,No,Yes,405m²squaremeters,1384m²squaremeters,4,No,Good
LIEGE,Apartment,None,"€470,000",None,5,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,103m²squaremeters,2,No,Justrenovated
Arlon,House,None,"€470,000",None,5,203m²squaremeters,Yes,Yes,No,Yes,Yes,203m²squaremeters,430m²squaremeters,3,No,Good
Kapelle-op-den-Bos,House,None,"€490,000",None,4,205m²squaremeters,Yes,Yes,No,No,Yes,205m²squaremeters,824m²squaremeters,4,No,Tobedoneup
Halle,House,None,"€525,000",None,4,201m²squaremeters,Yes,Yes,No,No,No,201m²squaremeters,668m²squaremeters,4,No,Good
Buizingen,House,None,"€525,000",None,4,201m²squaremeters,Yes,Yes,No,No,No,201m²squaremeters,668m²squaremeters,4,No,Good
SINT-AMANDS,House,None,"€529,000",None,4,303m²squaremeters,Yes,Yes,No,Yes,Yes,303m²squaremeters,1502m²squaremeters,4,No,Good
Lille,House,None,"€535,000",None,3,266m²squaremeters,Yes,Yes,No,No,Yes,266m²squaremeters,675m²squaremeters,4,No,Asnew
Wezemaal,Villa,None,"€549,000",None,6,252m²squaremeters,Yes,Yes,No,Yes,Yes,252m²squaremeters,3943m²squaremeters,4,No,Good
Waterloo,Villa,None,"€550,000",None,3,122m²squaremeters,Yes,Yes,No,Yes,Yes,122m²squaremeters,751m²squaremeters,4,No,Tobedoneup
Chaineux,House,None,"€570,000",None,3,290m²squaremeters,Yes,Yes,No,Yes,No,290m²squaremeters,950m²squaremeters,4,Yes,Good
Waterloo,Villa,None,"€590,000",None,3,180m²squaremeters,Yes,Yes,No,Yes,Yes,180m²squaremeters,691m²squaremeters,4,No,Torenovate
Kraainem,Villa,None,"€595,000",None,3,None,No,Yes,No,No,No,None,786m²squaremeters,4,No,Torenovate
Aalter,House,None,"€595,000",None,5,400m²squaremeters,Yes,Yes,No,Yes,No,400m²squaremeters,1400m²squaremeters,4,No,Good
Leopoldsburg,Villa,None,"€599,000",None,5,422m²squaremeters,Yes,Yes,No,No,Yes,422m²squaremeters,1292m²squaremeters,4,No,Justrenovated
Woluwe-Saint-Lambert,House,None,"€620,000",None,3,200m²squaremeters,Yes,Yes,No,No,No,200m²squaremeters,150m²squaremeters,2,No,Tobedoneup
Stekene,House,None,"€625,000",None,7,482m²squaremeters,Yes,Yes,No,No,Yes,482m²squaremeters,994m²squaremeters,3,No,Tobedoneup
Ronse,House,None,"€625,000",None,4,315m²squaremeters,Yes,Yes,No,Yes,No,315m²squaremeters,4585m²squaremeters,4,No,Good
Schaerbeek,House,None,"€650,000",None,6,255m²squaremeters,Yes,Yes,No,No,No,255m²squaremeters,172m²squaremeters,2,Yes,Good
Arlon,House,None,"€650,000",None,6,282m²squaremeters,Yes,Yes,No,Yes,Yes,282m²squaremeters,11381m²squaremeters,4,No,Good
Dendermonde,Mansion,None,"€660,000",None,3,355m²squaremeters,Yes,Yes,No,No,No,355m²squaremeters,720m²squaremeters,3,Yes,Tobedoneup
Chaumont-Gistoux,House,None,"€675,000",None,4,250m²squaremeters,Yes,Yes,No,Yes,No,250m²squaremeters,2441m²squaremeters,4,Yes,Asnew
Duinbergen,House,None,"€675,000",None,2,104m²squaremeters,Yes,Yes,No,No,No,104m²squaremeters,495m²squaremeters,4,No,Tobedoneup
Ixelles,House,None,"€695,000",None,5,190m²squaremeters,No,Yes,No,No,No,190m²squaremeters,60m²squaremeters,2,No,Torenovate
Corroyle-Château,Exceptional,None,"€720,000",None,4,384m²squaremeters,Yes,Yes,No,No,No,384m²squaremeters,1000m²squaremeters,3,Yes,Asnew
Waterloo,Villa,None,Make,None,4,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,1000m²squaremeters,4,Yes,Good
Minderhout,House,None,"€729,000",None,4,309m²squaremeters,Yes,Yes,No,Yes,Yes,309m²squaremeters,4751m²squaremeters,4,No,Good
Halle,House,None,"€749,000",None,5,374m²squaremeters,Yes,Yes,No,Yes,No,374m²squaremeters,320m²squaremeters,3,No,Tobedoneup
Ixelles,House,None,"€780,000",None,8,200m²squaremeters,No,Yes,No,No,No,200m²squaremeters,52m²squaremeters,2,No,Asnew
Sainte-Ode,House,None,"€790,000",None,3,340m²squaremeters,Yes,Yes,No,No,No,340m²squaremeters,15870m²squaremeters,4,No,Good
Limal,House,None,Make,None,5,340m²squaremeters,Yes,Yes,No,No,No,340m²squaremeters,2580m²squaremeters,4,No,Asnew
Braine-le-Chateau,Villa,None,"€795,000",None,5,325m²squaremeters,Yes,No,No,Yes,Yes,325m²squaremeters,733m²squaremeters,4,No,Asnew
Tubize,Villa,None,"€795,000",None,5,325m²squaremeters,Yes,No,No,Yes,Yes,325m²squaremeters,733m²squaremeters,4,No,Asnew
Halle,Villa,None,"€795,000",None,5,325m²squaremeters,Yes,No,No,Yes,Yes,325m²squaremeters,733m²squaremeters,4,No,Asnew
Ronse,House,None,"€795,000",None,4,407m²squaremeters,Yes,Yes,No,Yes,No,407m²squaremeters,21451m²squaremeters,4,Yes,Good
Maarkedal,House,None,"€795,000",None,4,407m²squaremeters,Yes,Yes,No,Yes,No,407m²squaremeters,21451m²squaremeters,4,Yes,Good
Bruxelles,Apartment,None,"€799,000",None,5,355m²squaremeters,Yes,Yes,No,No,No,355m²squaremeters,None,2,No,Good
Wilrijk,Apartment,None,"€835,900",None,5,240m²squaremeters,Yes,Yes,No,No,No,240m²squaremeters,203m²squaremeters,2,No,None
Aartselaar,Villa,None,"€990,000",None,4,311m²squaremeters,Yes,Yes,No,No,Yes,311m²squaremeters,3004m²squaremeters,4,Yes,Good
Molenbeek-Saint-Jean,Apartment,None,"€1,045,000",None,8,460m²squaremeters,Yes,Yes,No,No,No,460m²squaremeters,160m²squaremeters,2,Yes,Torenovate
Ixelles,House,None,"€1,090,000",None,6,330m²squaremeters,Yes,Yes,No,No,No,330m²squaremeters,135m²squaremeters,2,No,Good
Sint-Ulriks-Kapelle,Villa,None,"€1,150,000",None,6,360m²squaremeters,Yes,Yes,No,Yes,No,360m²squaremeters,2767m²squaremeters,4,Yes,Asnew
Herentals,Villa,None,"€1,150,000",None,5,264m²squaremeters,Yes,Yes,No,No,Yes,264m²squaremeters,2303m²squaremeters,4,Yes,Asnew
LINDEN,Villa,None,"€1,160,000",None,6,472m²squaremeters,Yes,Yes,No,No,No,472m²squaremeters,974m²squaremeters,4,No,Good
Rixensart,Villa,None,"€1,200,000",None,3,300m²squaremeters,Yes,Yes,No,No,No,300m²squaremeters,1110m²squaremeters,4,Yes,Asnew
Kalmthout,Villa,None,"€1,249,000",None,6,510m²squaremeters,Yes,Yes,No,No,Yes,510m²squaremeters,3840m²squaremeters,4,No,Good
Ixelles,Mansion,None,"€1,275,000",None,5,350m²squaremeters,Yes,Yes,No,No,No,350m²squaremeters,225m²squaremeters,2,No,Torenovate
Ixelles,House,None,"€1,400,000",None,6,405m²squaremeters,Yes,Yes,No,No,No,405m²squaremeters,400m²squaremeters,2,No,Good
Uccle,Exceptional,None,"€1,550,000",None,3,350m²squaremeters,Yes,Yes,No,No,No,350m²squaremeters,517m²squaremeters,4,No,Good
Uccle,House,None,"€1,700,000",None,5,400m²squaremeters,No,Yes,No,No,No,400m²squaremeters,1025m²squaremeters,4,Yes,Good
HUISE,Country,None,"€1,750,000",None,5,1200m²squaremeters,Yes,Yes,No,Yes,No,1200m²squaremeters,11307m²squaremeters,4,No,Asnew
Haan,House,None,"€1,780,000",None,5,339m²squaremeters,Yes,Yes,No,No,No,339m²squaremeters,938m²squaremeters,4,Yes,None
Knokke-Heist,Villa,None,"€2,595,000",None,4,238m²squaremeters,Yes,Yes,No,Yes,No,238m²squaremeters,599m²squaremeters,3,No,Asnew
Uccle,Villa,None,"€2,750,000",None,7,450m²squaremeters,Yes,No,No,Yes,No,450m²squaremeters,2600m²squaremeters,4,No,Asnew
Hulpe,House,None,"€2,900,000",None,6,1000m²squaremeters,Yes,Yes,No,Yes,Yes,1000m²squaremeters,30000m²squaremeters,4,No,Good
Ixelles,House,None,"€3,000,000",None,5,917m²squaremeters,No,Yes,No,No,No,917m²squaremeters,None,3,Yes,Tobedoneup
|,House,None,"€1,980,000",None,6,588m²squaremeters,Yes,No,No,Yes,No,588m²squaremeters,1300m²squaremeters,4,No,Torenovate
|,Villa,None,"€2,275,000",None,5,390m²squaremeters,Yes,Yes,No,No,No,390m²squaremeters,900m²squaremeters,3,No,Good
SINT-MARIA-HOREBEKE,Country,None,"€495,000",None,2,250m²squaremeters,Yes,Yes,No,No,Yes,250m²squaremeters,2820m²squaremeters,None,No,Good
Pont-a-Celles,House,None,Make,None,3,160m²squaremeters,Yes,Yes,No,No,No,160m²squaremeters,530m²squaremeters,2,No,Good
Boom,House,None,"€235,000",None,3,115m²squaremeters,Yes,Yes,No,Yes,No,115m²squaremeters,60m²squaremeters,2,No,Good
Braine-l'Alleud,House,None,"€520,000",None,3,146m²squaremeters,No,Yes,No,No,No,146m²squaremeters,850m²squaremeters,4,No,Torestore
Lillois-Witterzée,House,None,"€520,000",None,3,146m²squaremeters,No,Yes,No,No,No,146m²squaremeters,850m²squaremeters,4,No,Torestore
Waterloo,Villa,None,"€570,000",None,5,176m²squaremeters,No,Yes,No,No,No,176m²squaremeters,618m²squaremeters,4,No,Torenovate
Nivelles,House,None,"€357,000",None,3,203m²squaremeters,Yes,Yes,No,No,No,203m²squaremeters,260m²squaremeters,3,No,None
Borgloon,House,None,"€220,000",None,4,146m²squaremeters,Yes,Yes,No,No,No,146m²squaremeters,None,3,No,Tobedoneup
Kapelle-op-den-Bos,House,None,"€349,000",None,4,168m²squaremeters,Yes,Yes,No,No,No,168m²squaremeters,108m²squaremeters,2,No,Justrenovated
|,Villa,None,"€850,000",None,7,456m²squaremeters,Yes,Yes,No,No,No,456m²squaremeters,2988m²squaremeters,4,No,Good
|,Nieuwbouwwoning,None,"€299,900",None,None,None,No,No,No,No,No,None,None,None,No,None
Perwez,House,None,"€245,000",None,3,130m²squaremeters,Yes,Yes,No,Yes,Yes,130m²squaremeters,1043m²squaremeters,4,No,Good
Nandrin,House,None,"€199,000",None,2,158m²squaremeters,Yes,Yes,No,No,No,158m²squaremeters,91m²squaremeters,2,No,Justrenovated
Wilsele,House,None,"€449,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,433m²squaremeters,3,No,Justrenovated
Dilbeek,House,None,"€519,000",None,5,238m²squaremeters,Yes,Yes,No,Yes,No,238m²squaremeters,960m²squaremeters,4,No,Good
Herstal,House,None,"€119,000",None,2,149m²squaremeters,Yes,No,No,Yes,No,149m²squaremeters,179m²squaremeters,3,Yes,Torenovate
Herstal,House,None,"€249,000",None,2,109m²squaremeters,Yes,No,No,No,No,109m²squaremeters,290m²squaremeters,2,No,Asnew
VIERSET-BARSE,Villa,None,"€449,000",None,4,195m²squaremeters,Yes,Yes,No,No,No,195m²squaremeters,1250m²squaremeters,4,Yes,Good
|,Villa,None,"€725,000",None,5,298m²squaremeters,Yes,Yes,No,No,Yes,298m²squaremeters,10000m²squaremeters,4,Yes,Tobedoneup
Saint-Nicolas,House,None,"€169,000",None,2,98m²squaremeters,Yes,Yes,No,No,No,98m²squaremeters,171m²squaremeters,2,No,Asnew
WANDRE,House,None,"€245,000",None,4,185m²squaremeters,Yes,Yes,No,No,No,185m²squaremeters,591m²squaremeters,3,No,Good
|,House,None,"€365,000",None,3,175m²squaremeters,Yes,Yes,No,No,No,175m²squaremeters,260m²squaremeters,2,No,Good
Boortmeerbeek,Villa,None,"€379,000",None,2,130m²squaremeters,No,No,No,No,No,130m²squaremeters,1042m²squaremeters,None,No,Torenovate
Houffalize,House,None,"€450,000",None,8,None,Yes,Yes,No,No,Yes,None,3170m²squaremeters,4,No,None
|,Villa,None,"€849,950",None,5,440m²squaremeters,Yes,No,No,Yes,No,440m²squaremeters,912m²squaremeters,4,Yes,Asnew
|,Villa,None,"€875,000",None,4,409m²squaremeters,Yes,Yes,No,Yes,No,409m²squaremeters,1676m²squaremeters,None,No,Justrenovated
|,Villa,None,"€895,000",None,4,230m²squaremeters,Yes,Yes,No,No,No,230m²squaremeters,514m²squaremeters,4,Yes,Tobedoneup
Gingelom,House,None,"€325,000",None,5,246m²squaremeters,Yes,Yes,No,No,No,246m²squaremeters,495m²squaremeters,2,No,Justrenovated
GrÃce-Berleur,House,None,Make,None,2,None,Yes,Yes,No,No,No,None,230m²squaremeters,2,No,Torenovate
Bastogne,House,None,"€125,000",None,3,None,Yes,Yes,No,Yes,No,None,110m²squaremeters,None,No,Torenovate
Bornem,House,None,"€127,000",None,3,80m²squaremeters,Yes,Yes,No,No,No,80m²squaremeters,85m²squaremeters,3,No,Torenovate
Chaudfontaine,House,None,"€149,000",None,2,70m²squaremeters,Yes,Yes,No,No,No,70m²squaremeters,64m²squaremeters,3,No,Tobedoneup
Oudenaarde,House,None,"€180,000",None,3,156m²squaremeters,Yes,Yes,No,No,No,156m²squaremeters,166m²squaremeters,None,No,Torenovate
Maffle,House,None,"€182,000",None,4,162m²squaremeters,Yes,Yes,No,No,No,162m²squaremeters,200m²squaremeters,None,No,Justrenovated
PAILHE,Chalet,None,"€189,000",None,2,60m²squaremeters,Yes,Yes,No,No,No,60m²squaremeters,4800m²squaremeters,4,No,Good
OUGRÉE,Apartment,None,"€249,000",None,4,205m²squaremeters,Yes,Yes,No,No,No,205m²squaremeters,252m²squaremeters,4,No,Tobedoneup
Jodoigne,Country,None,"€265,000",None,2,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,770m²squaremeters,4,No,Good
Oudenaarde,House,None,"€265,000",None,3,166m²squaremeters,Yes,Yes,No,No,No,166m²squaremeters,863m²squaremeters,None,No,Good
Oudenaarde,House,None,"€290,000",None,2,186m²squaremeters,Yes,Yes,No,No,No,186m²squaremeters,620m²squaremeters,None,No,Good
Brugge,House,None,"€295,000",None,1,76m²squaremeters,Yes,Yes,No,No,No,76m²squaremeters,41m²squaremeters,2,No,Justrenovated
Anzegem,House,None,"€298,000",None,3,175m²squaremeters,Yes,Yes,No,No,No,175m²squaremeters,929m²squaremeters,None,No,Torenovate
ANTHEIT,House,None,"€299,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,1561m²squaremeters,4,No,Good
Ronse,House,None,"€299,900",None,3,146m²squaremeters,Yes,Yes,No,Yes,No,146m²squaremeters,350m²squaremeters,3,No,Good
Drogenbos,House,None,Make,None,3,150m²squaremeters,Yes,Yes,No,No,No,150m²squaremeters,None,2,No,Good
Diegem,House,None,"€315,000",None,3,120m²squaremeters,Yes,Yes,No,Yes,No,120m²squaremeters,109m²squaremeters,2,No,Torenovate
Flemalle,House,None,"€345,000",None,2,200m²squaremeters,Yes,No,No,No,No,200m²squaremeters,1300m²squaremeters,4,Yes,Good
Vielsalm,House,None,"€349,000",None,5,486m²squaremeters,Yes,No,No,Yes,No,486m²squaremeters,1056m²squaremeters,4,No,Good
SINT-ANDRIES,Villa,None,"€349,000",None,4,150m²squaremeters,Yes,Yes,No,No,Yes,150m²squaremeters,540m²squaremeters,4,No,Torenovate
ANTHEIT,House,None,"€375,000",None,6,160m²squaremeters,Yes,Yes,No,No,No,160m²squaremeters,4314m²squaremeters,4,No,Good
Oudenaarde,Mixed-use,None,"€385,000",None,3,182m²squaremeters,Yes,Yes,No,Yes,No,182m²squaremeters,140m²squaremeters,2,No,Justrenovated
Oudenaarde,Mansion,None,"€385,000",None,3,182m²squaremeters,Yes,Yes,No,Yes,No,182m²squaremeters,140m²squaremeters,2,No,Justrenovated
Oudenaarde,Mixed-use,None,"€385,000",None,3,182m²squaremeters,Yes,Yes,No,Yes,No,182m²squaremeters,140m²squaremeters,2,No,Justrenovated
Oudenaarde,Mansion,None,"€385,000",None,3,182m²squaremeters,Yes,Yes,No,Yes,No,182m²squaremeters,140m²squaremeters,2,No,Justrenovated
Anthisnes,House,None,Make,None,5,210m²squaremeters,Yes,Yes,No,No,No,210m²squaremeters,2362m²squaremeters,4,Yes,Good
Hove,House,None,"€395,000",None,3,159m²squaremeters,Yes,Yes,No,Yes,Yes,159m²squaremeters,605m²squaremeters,3,No,Torenovate
Hoboken,House,None,"€425,000",None,2,140m²squaremeters,Yes,Yes,No,No,No,140m²squaremeters,368m²squaremeters,3,No,Good
Lebbeke,House,None,"€469,000",None,5,315m²squaremeters,Yes,Yes,No,Yes,Yes,315m²squaremeters,650m²squaremeters,3,No,Good
Borgerhout,House,None,"€485,000",None,5,279m²squaremeters,Yes,No,No,No,No,279m²squaremeters,175m²squaremeters,None,Yes,Tobedoneup
Berchem,House,None,"€485,000",None,5,279m²squaremeters,Yes,No,No,No,No,279m²squaremeters,175m²squaremeters,None,Yes,Tobedoneup
Awans,House,None,"€499,000",None,5,240m²squaremeters,Yes,Yes,No,No,No,240m²squaremeters,2094m²squaremeters,4,No,Tobedoneup
Beauvechain,House,None,"€499,900",None,4,200m²squaremeters,Yes,Yes,No,No,No,200m²squaremeters,1492m²squaremeters,4,Yes,Asnew
Vaux-sur-Sûre,House,None,Make,None,8,None,Yes,Yes,No,No,No,None,1590m²squaremeters,4,No,Good
Maldegem,House,None,"€539,000",None,3,220m²squaremeters,Yes,Yes,No,No,Yes,220m²squaremeters,800m²squaremeters,None,No,Asnew
SINT-KATELIJNE-WAVER,Villa,None,"€599,000",None,3,194m²squaremeters,Yes,Yes,No,No,No,194m²squaremeters,2776m²squaremeters,3,No,Good
Kapellen,House,None,"€605,000",None,4,219m²squaremeters,Yes,Yes,No,No,No,219m²squaremeters,1775m²squaremeters,4,Yes,Good
BROECHEM,House,None,"€635,000",None,3,290m²squaremeters,Yes,Yes,No,No,No,290m²squaremeters,1323m²squaremeters,4,No,Good
Evere,House,None,"€665,000",None,3,190m²squaremeters,Yes,Yes,No,No,No,190m²squaremeters,184m²squaremeters,2,Yes,Asnew
Rotselaar,Mixed-use,None,"€675,000",None,5,376m²squaremeters,No,Yes,No,No,No,376m²squaremeters,1761m²squaremeters,None,Yes,Good
Rotselaar,Villa,None,"€675,000",None,5,376m²squaremeters,No,Yes,No,No,No,376m²squaremeters,1761m²squaremeters,None,Yes,Good
Forest,House,None,"€695,000",None,8,390m²squaremeters,Yes,No,No,Yes,No,390m²squaremeters,295m²squaremeters,2,Yes,Tobedoneup
Lasne,Exceptional,None,"€1,095,000",None,5,400m²squaremeters,Yes,Yes,No,No,No,400m²squaremeters,1600m²squaremeters,4,Yes,Good
Fourons,Apartment,None,"€1,180,000",None,12,720m²squaremeters,Yes,Yes,No,Yes,No,720m²squaremeters,1247m²squaremeters,4,Yes,Good
