Local,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface of plot of land,Numbers of facades,Swimming pool,State of building
Genval,Villa,None,"€695,000",None,2,350m²squaremeters,Yes,Yes,No,No,No,350m²squaremeters,850m²squaremeters,4,Yes,Good
Waregem,House,None,"€298,000",None,2,120m²squaremeters,Yes,Yes,No,Yes,Yes,120m²squaremeters,164m²squaremeters,3,No,Good
Waregem,House,None,"€298,000",None,2,120m²squaremeters,Yes,Yes,No,Yes,Yes,120m²squaremeters,164m²squaremeters,3,No,Good
Ronse,Villa,None,"€795,000",None,4,407m²squaremeters,Yes,Yes,No,Yes,No,407m²squaremeters,21451m²squaremeters,4,No,Good
Rossignol,House,None,"€209,000",None,3,130m²squaremeters,Yes,Yes,No,No,No,130m²squaremeters,229m²squaremeters,2,No,Good
Huy,House,None,Make,None,4,230m²squaremeters,Yes,Yes,No,Yes,No,230m²squaremeters,473m²squaremeters,3,No,Asnew
Gentbrugge,New,None,"€345,000",None,None,None,No,No,No,No,No,None,None,None,No,None
Woluwe-Saint-Pierre,House,None,"€990,000",None,6,485m²squaremeters,Yes,Yes,No,No,No,485m²squaremeters,251m²squaremeters,2,No,Asnew
Mechelen,House,None,"€365,000",None,2,134m²squaremeters,Yes,Yes,No,No,No,134m²squaremeters,226m²squaremeters,2,Yes,Asnew
Anderlecht,Apartment,None,"€450,000",None,4,220m²squaremeters,Yes,Yes,No,No,No,220m²squaremeters,65m²squaremeters,2,Yes,Tobedoneup
Auderghem,House,None,"€849,000",None,4,230m²squaremeters,Yes,Yes,No,No,No,230m²squaremeters,206m²squaremeters,2,Yes,Asnew
Grace-Hollogne,House,None,"€195,000",None,4,175m²squaremeters,Yes,Yes,No,Yes,No,175m²squaremeters,920m²squaremeters,3,No,Tobedoneup
Grace-Hollogne,Mixed-use,None,"€230,000",None,3,550m²squaremeters,Yes,Yes,No,No,No,550m²squaremeters,845m²squaremeters,2,No,Tobedoneup
OURTHE,Chalet,None,"€229,000",None,2,60m²squaremeters,Yes,Yes,No,No,No,60m²squaremeters,970m²squaremeters,4,No,Asnew
Trooz,House,None,"€189,000",None,3,115m²squaremeters,Yes,Yes,No,No,No,115m²squaremeters,637m²squaremeters,4,No,Torenovate
Kortrijk,House,None,"€194,500",None,4,150m²squaremeters,Yes,Yes,No,Yes,No,150m²squaremeters,70m²squaremeters,2,No,Good
Wezembeek-Oppem,House,None,"€469,000",None,3,90m²squaremeters,Yes,Yes,No,No,No,90m²squaremeters,186m²squaremeters,3,Yes,Justrenovated
Wolvertem,House,None,"€449,000",None,3,223m²squaremeters,Yes,Yes,No,No,No,223m²squaremeters,750m²squaremeters,3,No,Good
Rocourt,House,None,"€255,000",None,3,102m²squaremeters,Yes,Yes,No,No,No,102m²squaremeters,440m²squaremeters,3,No,Tobedoneup
Ottignies-Louvain-la-Neuve,Exceptional,None,"€1,250,000",None,5,300m²squaremeters,Yes,Yes,No,No,No,300m²squaremeters,5000m²squaremeters,4,Yes,Tobedoneup
